data_source,sex,bill_length_mm,flipper_length_mm
confidential,male,39.1,181
confidential,female,39.5,186
confidential,female,40.3,195
confidential,female,36.7,193
confidential,male,39.3,190
confidential,female,38.9,181
confidential,male,39.2,195
confidential,female,41.1,182
confidential,male,38.6,191
confidential,male,34.6,198
confidential,female,36.6,185
confidential,female,38.7,195
confidential,male,42.5,197
confidential,female,34.4,184
confidential,male,46,194
confidential,female,37.8,174
confidential,male,37.7,180
confidential,female,35.9,189
confidential,male,38.2,185
confidential,male,38.8,180
confidential,female,35.3,187
confidential,male,40.6,183
confidential,female,40.5,187
confidential,female,37.9,172
confidential,male,40.5,180
confidential,female,39.5,178
confidential,male,37.2,178
confidential,female,39.5,188
confidential,male,40.9,184
confidential,female,36.4,195
confidential,male,39.2,196
confidential,male,38.8,190
confidential,female,42.2,180
confidential,female,37.6,181
confidential,male,39.8,184
confidential,female,36.5,182
confidential,male,40.8,195
confidential,female,36,186
confidential,male,44.1,196
confidential,female,37,185
confidential,male,39.6,190
confidential,male,41.1,182
confidential,female,36,190
confidential,male,42.3,191
confidential,female,39.6,186
confidential,male,40.1,188
confidential,female,35,190
confidential,male,42,200
confidential,female,34.5,187
confidential,male,41.4,191
confidential,female,39,186
confidential,male,40.6,193
confidential,female,36.5,181
confidential,male,37.6,194
confidential,female,35.7,185
confidential,male,41.3,195
confidential,female,37.6,185
confidential,male,41.1,192
confidential,female,36.4,184
confidential,male,41.6,192
confidential,female,35.5,195
confidential,male,41.1,188
confidential,female,35.9,190
confidential,male,41.8,198
confidential,female,33.5,190
confidential,male,39.7,190
confidential,female,39.6,196
confidential,male,45.8,197
confidential,female,35.5,190
confidential,male,42.8,195
confidential,female,40.9,191
confidential,male,37.2,184
confidential,female,36.2,187
confidential,male,42.1,195
confidential,female,34.6,189
confidential,male,42.9,196
confidential,female,36.7,187
confidential,male,35.1,193
confidential,female,37.3,191
confidential,male,41.3,194
confidential,male,36.3,190
confidential,female,36.9,189
confidential,male,38.3,189
confidential,female,38.9,190
confidential,female,35.7,202
confidential,male,41.1,205
confidential,female,34,185
confidential,male,39.6,186
confidential,female,36.2,187
confidential,male,40.8,208
confidential,female,38.1,190
confidential,male,40.3,196
confidential,female,33.1,178
confidential,male,43.2,192
confidential,female,35,192
confidential,male,41,203
confidential,female,37.7,183
confidential,male,37.8,190
confidential,female,37.9,193
confidential,male,39.7,184
confidential,female,38.6,199
confidential,male,38.2,190
confidential,female,38.1,181
confidential,male,43.2,197
confidential,female,38.1,198
confidential,male,45.6,191
confidential,female,39.7,193
confidential,male,42.2,197
confidential,female,39.6,191
confidential,male,42.7,196
confidential,female,38.6,188
confidential,male,37.3,199
confidential,female,35.7,189
confidential,male,41.1,189
confidential,female,36.2,187
confidential,male,37.7,198
confidential,female,40.2,176
confidential,male,41.4,202
confidential,female,35.2,186
confidential,male,40.6,199
confidential,female,38.8,191
confidential,male,41.5,195
confidential,female,39,191
confidential,male,44.1,210
confidential,female,38.5,190
confidential,male,43.1,197
confidential,female,36.8,193
confidential,male,37.5,199
confidential,female,38.1,187
confidential,male,41.1,190
confidential,female,35.6,191
confidential,male,40.2,200
confidential,female,37,185
confidential,male,39.7,193
confidential,female,40.2,193
confidential,male,40.6,187
confidential,female,32.1,188
confidential,male,40.7,190
confidential,female,37.3,192
confidential,male,39,185
confidential,male,39.2,190
confidential,female,36.6,184
confidential,female,36,195
confidential,male,37.8,193
confidential,female,36,187
confidential,male,41.5,201
synthetic,female,38.76953514313008,192.7385905064951
synthetic,male,42.855239133688954,200.4706650588538
synthetic,female,38.521279761946474,191.92682381048652
synthetic,male,38.15741918484813,185.10933125762165
synthetic,female,35.045253164414376,180.5606144946469
synthetic,male,39.22174046423982,188.5895400826798
synthetic,male,42.45720188728589,199.16912879865092
synthetic,male,39.04436375812423,188.00953854561007
synthetic,male,42.39772856388784,198.97465783489858
synthetic,male,39.42767019511551,189.26290674424376
synthetic,male,42.5055436965748,199.32720098471367
synthetic,male,41.40574788137246,195.73099448584819
synthetic,female,36.28400268120258,184.61118370136884
synthetic,female,36.14880664734165,184.16910813709507
synthetic,male,37.16103039602518,181.85125390523368
synthetic,male,43.36720368007312,202.14473055669058
synthetic,female,34.28454271990576,178.0731783665203
synthetic,male,39.108126637992434,188.21803586829378
synthetic,male,40.93866359715585,194.203682310989
synthetic,female,36.527386481111115,185.4070208839177
synthetic,female,32.62057596741352,172.63219744397713
synthetic,female,37.17241831409522,187.51620118601386
synthetic,female,36.28631046649761,184.61872989527254
synthetic,female,35.47215977419504,181.956550270434
synthetic,male,40.529927473654396,192.8671619466279
synthetic,female,33.944706734351826,176.96195357105898
synthetic,male,41.89353498627149,197.32600251593234
synthetic,male,39.95333369674273,190.98176625856226
synthetic,male,40.09093783402585,191.4317160455391
synthetic,female,39.814524451428234,196.1555859976585
synthetic,female,38.266657252834165,191.0942373345518
synthetic,male,37.57669192848733,183.21041956462815
synthetic,male,39.81317965840668,190.52347858685147
synthetic,female,35.26534080362482,181.28027589679812
synthetic,male,38.48310423792981,186.17428412276797
synthetic,female,37.09686042222042,187.26913552342018
synthetic,female,35.960553667702875,183.5535424298522
synthetic,female,37.247336626320994,187.76117549632326
synthetic,male,42.69399488129684,199.9434147999041
synthetic,male,43.93858476569102,204.01308134055841
