state,employees,income
Texas,5,3199194.2239334895
Texas,12,119349.52829115682
Texas,5,4217.479002248525
Texas,6,2546.7488387075373
Texas,6,89401.29188334757
Texas,10,32155.694901952018
Texas,9,2343.563170232675
Texas,10,588713.4362257106
Texas,8,24747.90897530804
Texas,13,233589.42032849396
Texas,4,2680.872373092738
Texas,9,16957.109552635487
Texas,11,42425.1942890077
Texas,7,50930.87428775139
Texas,12,110434.80076846413
Texas,14,23977.70926896428
Texas,11,117682.72958728494
Texas,8,1999.9937133880383
Texas,7,10491.092348536053
Texas,11,8584.104399075904
Texas,14,2904.6510113799645
Texas,11,323.2500535592275
Texas,4,3871.5263016428157
Texas,10,105329.14514593747
Texas,4,39412.47053025544
Texas,10,9102.280209828617
Texas,5,13946.531198423718
Texas,9,202728.9007079441
Texas,6,19822.551409847845
Texas,7,223161.52832645678
Texas,6,1579376.9562639163
Texas,8,3517.0784352219657
Texas,9,6691.798505512298
Texas,8,2965.012273526205
Texas,11,3050.2849023077247
Texas,11,135670.18212374352
Texas,12,27990.302647486787
Texas,9,39319.88530077927
Texas,10,37039.46902690001
Texas,11,1800.4842529557338
Texas,5,480680.26166874846
Texas,7,3867.363808201236
Texas,9,43468.01274891232
Texas,5,105902.82595252756
Texas,8,38985.02227736644
Texas,13,242425.45059772825
Texas,7,11114.880961164334
Texas,8,141004.46662387234
Texas,7,3190.7728213715686
Texas,6,2768.5110667016897
Texas,10,11237.302440054242
Texas,8,49149.468738228745
Texas,9,39071.2646515833
Texas,7,27637.142334561027
Texas,8,3088.477533196045
Texas,15,224556.22528000607
Texas,12,6274.1519769818315
Texas,4,301246.8073832617
Texas,6,287027.30316058896
Texas,12,90941.36853609212
Texas,14,8623.66030765947
Texas,7,5372.549836238356
Texas,15,3451573.6169099226
Texas,9,4179.538860113158
Texas,10,355.1144158822937
Texas,8,230098.86540382792
Texas,13,739.8741163383133
Texas,17,65005.16555022707
Texas,7,15196.786466535452
Texas,8,106212.7641101304
Texas,18,759065.3195633745
Texas,9,7650.888515219379
Texas,6,1309.857525587145
Texas,6,236.79718161341552
Texas,8,2559.8865653466364
Texas,14,1741.8305089006362
Texas,4,46215.6764539983
Texas,7,103592.60798518817
Texas,11,2874.87943544747
Texas,9,39787.68066856018
Texas,6,428.55975641402756
Texas,9,40905.641408248484
Texas,10,125.76597216741425
Texas,17,56407.08619494214
Texas,8,218583.53858777933
Texas,6,34719.17496628992
Texas,13,1893431.6636604506
Texas,6,73013.49335808303
Texas,8,1469.0851894025202
Texas,10,1906.96558000727
Texas,10,9447.818500248663
Texas,4,698430.9648864726
Texas,9,97325.31238646642
Texas,9,372537.2716022367
Texas,4,21097.287610679927
Texas,8,28929.007564415027
Texas,4,47234.90901765029
Texas,11,3231.299532682904
Texas,9,11379.596181984589
Texas,17,7342.100788124129
Texas,15,53542.1701909841
Texas,4,1182.5427085309072
Texas,9,47049.59064203155
Texas,13,207658.59276911413
Texas,12,1002.3058397750494
Texas,10,22425.014972567693
Texas,9,1140.2475808240445
Texas,14,4674.064700087469
Texas,10,25213.905190915884
Texas,11,31655.646960416263
Texas,14,83948.64779951987
Texas,10,3982.976426521515
Texas,12,38929.780190751284
Texas,13,70560.01717523181
Texas,9,83577.32243940997
Texas,11,23555.418690353723
Texas,7,22593.388540290453
Texas,14,1378.4851991365922
Texas,8,22217.570240002042
Texas,9,38451.50041043186
Texas,11,54361.28976787703
Texas,10,83567.2112257813
Texas,7,6889.379177005612
Texas,11,46671.24790644023
Texas,12,22468.192446392164
Texas,9,34370.9114147135
Texas,8,17776.529255266953
Texas,13,263853.7424806067
Texas,6,10178.74102929682
Texas,10,13011.63648040162
Texas,12,969615.4391978509
Texas,17,62299.298179771504
Texas,12,504.82458219182155
Texas,7,4487.095558422244
Texas,11,34899.97761950233
Texas,10,18142.322603655437
Texas,8,46361.23105759047
Texas,11,51736.09652688696
Texas,13,174027.1297462909
Texas,8,108420.67873425892
Texas,9,28587.520761278654
Texas,8,32454.11387128262
Texas,12,243890.53612816098
Texas,10,23725.173078919335
Texas,11,3000.019540358702
Texas,12,183.34673366782806
Texas,5,1290.3958600782537
Texas,13,20619.72659427643
Texas,12,13200.895702029318
Texas,9,16484.125214683383
Texas,9,6292.070801678778
Texas,9,263916.35383895214
Texas,8,3449.8474708887647
Texas,8,110386.7553672413
Texas,5,15912.986967549321
Texas,8,1193.1725657152458
Texas,5,3450.87757797112
Texas,7,208943.61182594052
Texas,9,442.7786232461124
Texas,7,53335.56731638578
Texas,8,224908.80203586858
Texas,6,476470.9699357547
Texas,11,1825.8153064232513
Texas,11,124371.40976016677
Texas,12,10823.509941505865
Texas,8,226394.73133733295
Texas,11,6082.931052753923
Texas,12,12162.389344349818
Texas,11,95431.27569548713
Texas,6,605.5541828550795
Texas,11,201867.57279710335
Texas,8,101857.39227421184
Texas,10,30288.050626938548
Texas,8,2670.5284066944837
Texas,12,140306.53185066886
Texas,12,2197.413357546475
Texas,10,124.076926253633
Texas,13,62613.331269399685
Texas,9,767566.0721183886
Texas,7,4741.381080227761
Texas,13,27552.80627682189
Texas,11,4747.294791466701
Texas,6,135001.07117483002
Texas,9,33415.743174896656
Texas,6,2158.3618072673057
Texas,7,8219.434695264077
Texas,9,8234.298038768473
Texas,12,820.1816428004856
Texas,8,14973.29501631226
Texas,8,85833.02798143485
Texas,9,377.33801039253814
Texas,14,17073.16267073807
Texas,12,778.5358603866906
Texas,9,68375.45955348296
Texas,13,686.2860247313272
Texas,15,5500.31189029394
Texas,16,426.40401662399626
Texas,8,20907.07476706655
Texas,13,104503.2935418318
Texas,13,600718.4576206657
Texas,11,14416.663117836475
Texas,7,98881.72926700137
Texas,7,137.31794504666536
Texas,9,58461.05920100761
Texas,9,222519.2333775975
Texas,7,811716.5518037535
Texas,10,135319.27192250354
Texas,8,133.93733760304025
Texas,9,8003.8235535740605
Texas,15,33248.93146815529
Texas,11,9639.142735587244
Texas,8,39239.91335664154
Texas,14,2352.2819459485304
Texas,18,104870.58889193728
Texas,9,27388.565316887118
Texas,4,7356.935885863899
Texas,7,62373.26529256568
Texas,7,15721.74522395516
Texas,14,1452.9911966400675
Texas,10,13310.873827834961
Texas,13,2986.765566430213
Texas,8,586.2417148416928
Texas,14,60938.8967501595
Texas,7,145604.2833267311
Texas,13,772755.6070458449
Texas,8,2912.782331980535
Texas,10,14794.472129593722
Texas,16,47180.786613090786
Texas,7,18028.375870028965
Texas,10,1913.0626738479298
Texas,20,53570.567046785916
Texas,14,44177.962095054114
Texas,11,14919.017055257758
Texas,8,311480.90839858376
Texas,6,12294.792574265095
Texas,17,2730.528052320264
Texas,7,2662.814977427619
Texas,5,5552.443844958255
Texas,14,8080.941876558644
Texas,12,29673.435132856062
Texas,9,31792.972927981114
Texas,7,8519.331142220148
Texas,8,3601.3368284843477
Texas,7,47.46665279359599
Texas,9,27221.32236327594
Texas,11,147648.74089944042
Texas,15,3434.7800198578466
Texas,10,34936.01545520378
Texas,10,2697.1926239491922
Texas,7,4237.968187946373
Texas,6,2696.3427343903486
