gender,height,mass
0,172,77
0,167,75
0,96,32
0,202,136
1,150,49
0,178,120
1,165,75
0,97,32
0,183,84
0,182,77
0,188,84
0,228,112
0,180,80
0,173,74
0,170,77
0,180,110
0,66,17
0,170,75
0,183,78.2
0,200,140
0,190,113
0,177,79
0,175,79
0,180,83
0,88,20
0,160,68
0,193,89
0,191,90
0,196,66
0,224,82
0,112,40
0,175,80
1,178,55
0,94,45
0,163,65
0,188,84
0,198,82
0,196,87
1,184,50
0,188,80
0,185,85
0,183,80
1,170,56.2
1,166,50
0,193,80
0,183,79
1,168,55
0,198,102
0,229,88
0,79,15
0,193,48
1,178,57
0,216,159
0,234,136
0,188,79
0,206,80
1,165,45
